IP: 127.0.0.1 | Koha: 2024-11-09 11:43:27 | Mesazhi: hello
IP: 127.0.0.1 | Koha: 2024-11-09 11:43:36 | Mesazhi: exit
IP: 127.0.0.1 | Koha: 2024-11-09 12:07:41 | Mesazhi: client1
IP: 127.0.0.1 | Koha: 2024-11-09 12:07:47 | Mesazhi: client2
IP: 127.0.0.1 | Koha: 2024-11-09 12:08:18 | Mesazhi: client3
IP: 127.0.0.1 | Koha: 2024-11-09 12:08:33 | Mesazhi: client4
IP: 127.0.0.1 | Koha: 2024-11-09 12:08:47 | Mesazhi: client5
IP: 127.0.0.1 | Koha: 2024-11-09 12:09:05 | Mesazhi: client6
IP: 127.0.0.1 | Koha: 2024-11-09 12:09:08 | Mesazhi: exit
IP: 127.0.0.1 | Koha: 2024-11-09 19:07:06 | Mesazhi: 1
IP: 127.0.0.1 | Koha: 2024-11-09 19:07:24 | Mesazhi: hello
IP: 127.0.0.1 | Koha: 2024-11-09 19:07:45 | Mesazhi: 2
